"ID","pracword","valence","word","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_3.keys","key_resp_3.rt","key_resp_4.keys","key_resp_4.rt","response.keys","response.corr","response.rt","date","frameRate","expName","session","participant","trial40","trial40c","rt","logrt","id","valenceE","rtms","idcat","valence2","valcat","val2cat"
202,NA,"negative","moody",NA,NA,NA,NA,0,18,18,30,NA,NA,NA,NA,"up",0,0.893532038,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,19,-0.025,0.893532038,6.79518219069979,202,-0.5,893.532038,"202",-1,"-0.5","-1"
202,NA,"negative","clumsy",NA,NA,NA,NA,0,19,19,23,NA,NA,NA,NA,"down",0,1.242665052,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,20,0,1.242665052,7.1250135877803,202,-0.5,1242.665052,"202",-1,"-0.5","-1"
202,NA,"negative","boring",NA,NA,NA,NA,0,20,20,20,NA,NA,NA,NA,"up",0,1.109902859,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,21,0.025,1.109902859,7.01202777606236,202,-0.5,1109.902859,"202",-1,"-0.5","-1"
202,NA,"positive","ambitious",NA,NA,NA,NA,0,21,21,10,NA,NA,NA,NA,"up",0,0.775460005,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,22,0.05,0.775460005,6.65345640810806,202,0.5,775.460005,"202",1,"0.5","1"
202,NA,"negative","timid",NA,NA,NA,NA,0,22,22,28,NA,NA,NA,NA,"down",0,1.043532848,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,23,0.075,1.043532848,6.95036720469934,202,-0.5,1043.532848,"202",-1,"-0.5","-1"
202,NA,"negative","inhibited",NA,NA,NA,NA,0,23,23,25,NA,NA,NA,NA,"down",0,1.308906078,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,24,0.1,1.308906078,7.17694701238075,202,-0.5,1308.906078,"202",-1,"-0.5","-1"
202,NA,"positive","enthusiastic",NA,NA,NA,NA,0,24,24,16,NA,NA,NA,NA,"up",0,1.324153185,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,25,0.125,1.324153185,7.18852842844487,202,0.5,1324.153185,"202",1,"0.5","1"
202,NA,"positive","wise",NA,NA,NA,NA,0,25,25,19,NA,NA,NA,NA,"up",0,1.308738947,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,26,0.15,1.308738947,7.17681931668586,202,0.5,1308.738947,"202",1,"0.5","1"
202,NA,"positive","thrifty",NA,NA,NA,NA,0,26,26,2,NA,NA,NA,NA,"down",0,1.342797995,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,27,0.175,1.342797995,7.20251077195612,202,0.5,1342.797995,"202",1,"0.5","1"
202,NA,"positive","outgoing",NA,NA,NA,NA,0,27,27,17,NA,NA,NA,NA,"up",0,0.608772993,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,28,0.2,0.608772993,6.41144544452539,202,0.5,608.772993,"202",1,"0.5","1"
202,NA,"positive","neat",NA,NA,NA,NA,0,28,28,5,NA,NA,NA,NA,"up",0,0.611086845,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,29,0.225,0.611086845,6.41523908491413,202,0.5,611.086845,"202",1,"0.5","1"
202,NA,"positive","inventive",NA,NA,NA,NA,0,29,29,18,NA,NA,NA,NA,"down",0,1.092108965,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,30,0.25,1.092108965,6.99586593612521,202,0.5,1092.108965,"202",1,"0.5","1"
202,NA,"negative","forgetful",NA,NA,NA,NA,0,30,30,31,NA,NA,NA,NA,"up",0,0.992635012,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,31,0.275,0.992635012,6.90036303555161,202,-0.5,992.635012,"202",-1,"-0.5","-1"
202,NA,"negative","antisocial",NA,NA,NA,NA,0,31,31,33,NA,NA,NA,NA,"down",0,1.191838026,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,32,0.3,1.191838026,7.08325195416401,202,-0.5,1191.838026,"202",-1,"-0.5","-1"
202,NA,"negative","anxious",NA,NA,NA,NA,0,32,32,35,NA,NA,NA,NA,"up",0,0.926002026,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,33,0.325,0.926002026,6.83087642254875,202,-0.5,926.002026,"202",-1,"-0.5","-1"
202,NA,"positive","tender",NA,NA,NA,NA,0,33,33,6,NA,NA,NA,NA,"up",0,0.792806864,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,34,0.35,0.792806864,6.67557964089959,202,0.5,792.806864,"202",1,"0.5","1"
202,NA,"positive","idealistic",NA,NA,NA,NA,0,34,34,3,NA,NA,NA,NA,"up",0,0.758482933,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,35,0.375,0.758482933,6.63132029754664,202,0.5,758.482933,"202",1,"0.5","1"
202,NA,"positive","brilliant",NA,NA,NA,NA,0,35,35,12,NA,NA,NA,NA,"up",0,0.575559855,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,36,0.4,0.575559855,6.35534322796663,202,0.5,575.559855,"202",1,"0.5","1"
202,NA,"negative","cynical",NA,NA,NA,NA,0,36,36,37,NA,NA,NA,NA,"up",0,0.393021107,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,37,0.425,0.393021107,5.97386331780621,202,-0.5,393.021107,"202",-1,"-0.5","-1"
202,NA,"negative","gullible",NA,NA,NA,NA,0,37,37,34,NA,NA,NA,NA,"down",0,1.026015997,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,38,0.45,1.026015997,6.9334386172271,202,-0.5,1026.015997,"202",-1,"-0.5","-1"
202,NA,"positive","artistic",NA,NA,NA,NA,0,38,38,9,NA,NA,NA,NA,"down",0,1.242034912,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,39,0.475,1.242034912,7.12450637159916,202,0.5,1242.034912,"202",1,"0.5","1"
202,NA,"negative","impulsive",NA,NA,NA,NA,0,39,39,21,NA,NA,NA,NA,"up",0,1.642158031,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,40,0.5,1.642158031,7.40376652837766,202,-0.5,1642.158031,"202",-1,"-0.5","-1"
