"Participant","block","trial","stim","stimgroup","RT","Acuracy","stimposition","maskside","response","Correct_numeric","Acuracy_fixed_mean","filter_.","ZRT","Outlire","AlertEffect_first","OrientingEffect_first","ConflictEffect_first","GrandMeanEffect_first","ANT_Accuracy_first","Dominant_Eye_first","Right_Eye_Acuity_first","Left_Eye_Acuity_first","Age_first","Gender1male2female_first","Face_orientation","fo1","fo2","trial.r","pred","logRT"
1,1,41,"folder/matchedM019.png  ",2,1.831814071,1,4,1,4,1,0.947916667,"Selected",-0.005482357,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,40,1.5475662747823,0.605306771472697
1,1,43,"folder/matchedM020.png  ",1,0.944627992,1,3,2,3,1,0.947916667,"Selected",-0.81493986,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,42,1.5475662747823,-0.0569640882518005
1,1,46,"folder/matchedM001.png  ",2,1.352265211,1,1,1,1,1,0.947916667,"Selected",-0.443016749,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,45,1.5475662747823,0.301781120365775
1,1,47,"folder/matchedM021SL.png",6,3.614862513,1,1,1,1,1,0.947916667,"Selected",1.621348783,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,46,2.00003306419206,1.28505382252233
1,1,48,"folder/matchedM049.png  ",2,2.219771571,1,3,1,3,1,0.947916667,"Selected",0.348485223,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,47,1.5475662747823,0.797404294644091
1,1,51,"folder/matchedM008SR.png",6,1.509418861,1,3,1,3,1,0.947916667,"Selected",-0.299631722,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,50,2.00003306419206,0.411724716484213
1,1,52,"folder/matchedM017SR.png",6,3.287383888,1,2,1,2,1,0.947916667,"Selected",1.322561374,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,51,2.00003306419206,1.1900920776406
1,1,55,"folder/matchedM005SR.png",5,1.634343718,1,2,2,2,1,0.947916667,"Selected",-0.185651842,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,54,2.00003306419206,0.491241328049737
1,1,57,"folder/matchedM006.png  ",2,2.132328332,1,4,1,4,1,0.947916667,"Selected",0.268703104,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,56,1.5475662747823,0.757214496322699
1,1,60,"folder/matchedM049SL.png",6,2.319531037,1,1,1,1,1,0.947916667,"Selected",0.439504515,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,59,2.00003306419206,0.841365026021194
1,1,62,"folder/matchedM019SL.png",6,3.214549482,1,2,1,2,1,0.947916667,"Selected",1.25610817,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,61,2.00003306419206,1.1676872178549
1,1,63,"folder/matchedM004SL.png",5,1.224187294,1,1,2,1,1,0.947916667,"Selected",-0.559873442,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,62,2.00003306419206,0.202277190357935
1,1,66,"folder/matchedM049.png  ",1,1.53437478,1,1,2,1,1,0.947916667,"Selected",-0.276862253,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,65,1.5475662747823,0.428122988619883
1,1,68,"folder/matchedM020SR.png",5,1.152094438,1,3,2,3,1,0.947916667,"Selected",-0.625650064,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,67,2.00003306419206,0.141581536344289
1,1,69,"folder/matchedM017.png  ",1,1.133737055,1,4,2,4,1,0.947916667,"Selected",-0.642399112,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,68,1.5475662747823,0.125519304520945
1,1,70,"folder/matchedM019.png  ",1,1.470658014,1,4,2,4,1,0.947916667,"Selected",-0.334996634,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,69,1.5475662747823,0.385709929206292
1,1,71,"folder/matchedM016SL.png",6,3.252878794,1,2,1,2,1,0.947916667,"Selected",1.291079356,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,70,2.00003306419206,1.17954038703683
1,1,72,"folder/matchedM004.png  ",2,1.27465067,1,1,1,1,1,0.947916667,"Selected",-0.513831288,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,71,1.5475662747823,0.242672156756105
1,1,73,"folder/matchedM024.png  ",2,1.308555032,1,2,1,2,1,0.947916667,"Selected",-0.482897372,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,72,1.5475662747823,0.268923499421218
1,1,74,"folder/matchedM072SL.png",6,1.54669953,1,4,1,4,1,0.947916667,"Selected",-0.265617305,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,73,2.00003306419206,0.436123325189149
1,1,76,"folder/matchedM008SR.png",5,1.579689275,1,1,2,1,1,0.947916667,"Selected",-0.235517873,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,75,2.00003306419206,0.457228166306083
1,1,77,"folder/matchedM002SL.png",6,1.976600226,1,2,1,2,1,0.947916667,"Selected",0.126618723,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,76,2.00003306419206,0.681378311297692
1,1,79,"folder/matchedM003.png  ",1,1.589870006,1,4,2,4,1,0.947916667,"Selected",-0.226229101,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,78,1.5475662747823,0.463652255657131
