"id","rtneg","rtpos"
201,6.77449654637272,6.78516092453935
202,6.79630604918403,6.63186846974557
204,6.75979933818236,6.63546722451103
205,6.82087934099734,6.47312115036701
206,6.99050145348972,7.04152201253402
207,6.95464813750825,7.09743755454957
208,7.26022311718822,6.69087745289988
209,7.32712785006785,7.06167759525278
210,6.66504021573207,6.56656333407411
212,7.18405101267642,6.78432909844018
302,7.03189679909401,6.85352349890024
303,7.30482564324206,6.75867649561008
304,6.76825395320714,6.46498865488341
305,6.47651533691498,6.38383697451729
306,7.21430788196284,6.81966684077354
219,6.72531348985549,6.76745860885889
220,6.97578900398628,6.62218832193468
221,7.23979948006528,7.00810471092239
222,7.15820421652724,6.70233613559694
223,6.67293989695129,6.61075080293806
224,6.66751107555254,6.54936652521062
226,7.08768895420851,6.835201181397
228,6.78886331756591,6.76822623707915
229,6.81916962426196,6.82687645654535
232,7.08613643562565,6.90725213853046
234,7.17451429877526,6.97927248591901
235,7.01639013876423,6.95136591072444
236,6.75392810229464,6.74650537878826
237,7.00213607768517,6.91683886191085
238,7.06352810327442,6.88952332347223
239,7.02450824140495,7.2895845691993
240,6.70975179008533,6.70802141056273
241,6.95936510269579,6.79939364330127
242,6.62537853147916,6.53672851045442
243,7.03626358607811,6.88134726421375
244,6.6457175303985,6.70610526355241
245,6.82865923774007,6.57058801466698
246,6.93274055975606,6.69494158670329
247,6.87573927047321,7.15611759168884
248,7.04020641165276,6.61377198432441
249,6.77459368477116,6.70746588600408
251,7.3054556903399,7.15579539823021
252,6.8239754367975,6.62733035538964
254,7.17216450024202,6.9519491853087
255,7.18582669148167,6.69776266208581
256,6.90073403641291,6.72036669133139
301,6.95236244773139,6.78656451480563
262,7.08612614156437,7.05099720822418
263,7.50892988131405,6.88787383516303
264,6.63553347629115,6.5270741498158
265,7.16449998802829,7.00137810549984
266,7.09112151380602,6.72546339370745
267,7.08659880710369,6.65381346853254
268,6.64128538751311,6.54886131562916
269,7.03792297492457,6.82933610803032
270,6.92409022416964,7.0792969057727
271,7.04449444129279,6.99455043191368
273,7.24914782251386,6.89137814179907
274,6.9728564756257,6.88969604899504
