"ID","pracword","valence","word","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_3.keys","key_resp_3.rt","key_resp_4.keys","key_resp_4.rt","response.keys","response.corr","response.rt","date","frameRate","expName","session","participant","trial40","trial40c","rt","logrt","id","valenceE","rtms","rt.z"
201,NA,"positive","inventive",NA,NA,NA,NA,0,39,39,18,NA,NA,NA,NA,"up",0,0.742246151,"2016_Sep_30_1104",60.00632353,"heterogeneity160929b",1,201,40,0.5,0.742246151,6.60968092804605,201,0.5,742.246151,-0.710011414156747
202,NA,"positive","disciplined",NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,"up",0,0.72498703,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,2,-0.45,0.72498703,6.58615376503948,202,0.5,724.98703,-0.758483987791621
202,NA,"negative","irritable",NA,NA,NA,NA,0,2,2,27,NA,NA,NA,NA,"up",0,1.108602047,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,3,-0.425,1.108602047,7.01085508345703,202,-0.5,1108.602047,0.318906173559926
202,NA,"positive","trusting",NA,NA,NA,NA,0,4,4,8,NA,NA,NA,NA,"up",0,0.725842953,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,5,-0.375,0.725842953,6.58733367324283,202,0.5,725.842953,-0.756080111566216
202,NA,"positive","talented",NA,NA,NA,NA,0,5,5,0,NA,NA,NA,NA,"up",0,0.592477083,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,6,-0.35,0.592477083,6.38431219378024,202,0.5,592.477083,-1.13064072528194
202,NA,"negative","worrying",NA,NA,NA,NA,0,8,8,32,NA,NA,NA,NA,"up",0,0.808880091,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,9,-0.275,0.808880091,6.69565068728437,202,-0.5,808.880091,-0.522868710699731
202,NA,"positive","persistent",NA,NA,NA,NA,0,9,9,13,NA,NA,NA,NA,"up",0,0.757745981,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,10,-0.25,0.757745981,6.63034821206374,202,0.5,757.745981,-0.666479843168687
202,NA,"positive","courageous",NA,NA,NA,NA,0,10,10,15,NA,NA,NA,NA,"up",0,0.591758966,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,11,-0.225,0.591758966,6.38309939994809,202,0.5,591.758966,-1.13265757070304
202,NA,"negative","stubborn",NA,NA,NA,NA,0,12,12,39,NA,NA,NA,NA,"up",0,0.709203005,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,13,-0.175,0.709203005,6.56414181135972,202,-0.5,709.203005,-0.80281372590906
202,NA,"positive","proud",NA,NA,NA,NA,0,13,13,11,NA,NA,NA,NA,"up",0,0.576113939,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,14,-0.15,0.576113939,6.35630545189781,202,0.5,576.113939,-1.17659693026122
202,NA,"negative","tense",NA,NA,NA,NA,0,14,14,26,NA,NA,NA,NA,"up",0,0.876847982,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,15,-0.125,0.876847982,6.7763336386928,202,-0.5,876.847982,-0.331979580175379
202,NA,"positive","orderly",NA,NA,NA,NA,0,15,15,14,NA,NA,NA,NA,"up",0,0.792936087,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,16,-0.1,0.792936087,6.67574262191767,202,0.5,792.936087,-0.567647752918899
202,NA,"positive","tidy",NA,NA,NA,NA,0,16,16,4,NA,NA,NA,NA,"up",0,1.444204092,"2016_Sep_30_1140",59.97534811,"heterogeneity160929b",1,202,17,-0.075,1.444204092,7.27531364741564,202,0.5,1444.204092,1.26145097860978
