"id1","subject","subj","age","gender","gender_TEXT","hispanic","race","race_TEXT","relstat","relstat_TEXT","ass.matrix.1","ass.matrix.2","ass.matrix.3","ass.matrix.4","ass.matrix.5","ass.matrix.6","ass.matrix.7","ass.matrix.8","ass.matrix.9","ass.matrix.10","ass.matrix.11","ass.matrix.12","ass.v","ass.c","rmpredom","rmpredomave","rmpredom.c","rmpredomave.c","prom.matrix.1","prom.matrix.2","prom.matrix.3","prom.matrix.4","prom.matrix.5","prom.v","prom.c","prev.matrix.1","prev.matrix.2","prev.matrix.3","prev.matrix.4","prev.matrix.5","prev.v","prev.c","rfpredom","rfpredomave","rfpredom.c","rfpredomave.c","se.all.1","se.all.2","se.all.3","se.all.4","se.all.5","se.all.6","se.all.7","se.all.8","se.all.9","se.all.10","se.v","se.c","pracword","valence","word","response.rt","session","participant","trial40","trial40c","rt","logrt","id","valenceE","rtms","rt.z"
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"negative","insecure",0.7764301,1,  201, 1,-0.475,0.7764301,6.654707,201,-0.5, 776.4301,-0.614005051
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","thrifty",0.8090930,1,  201, 8,-0.300,0.8090930,6.695914,201, 0.5, 809.0930,-0.522270754
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","wise",0.9774442,1,  201,10,-0.250,0.9774442,6.884941,201, 0.5, 977.4442,-0.049453244
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"negative","clumsy",0.8267360,1,  201,12,-0.200,0.8267360,6.717485,201,-0.5, 826.7360,-0.472720122
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"negative","anxious",0.8430300,1,  201,13,-0.175,0.8430300,6.737003,201,-0.5, 843.0300,-0.426958101
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","enthusiastic",0.8405669,1,  201,14,-0.150,0.8405669,6.734077,201, 0.5, 840.5669,-0.433875771
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","ambitious",0.6755259,1,  201,15,-0.125,0.6755259,6.515492,201, 0.5, 675.5259,-0.897396512
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"negative","fearful",1.5594580,1,  201,18,-0.050,1.5594580,7.352094,201,-0.5,1559.4580, 1.585143846
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","courageous",1.1751850,1,  201,19,-0.025,1.1751850,7.069181,201, 0.5,1175.1850, 0.505905581
201,201, 91993,20,2,NA, 0, 2,"",6,"Dating but not living together",4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","confident",0.9918990,1,  201,20, 0.000,0.9918990,6.899621,201, 0.5, 991.8990,-0.008856542
