"Participant","block","trial","stim","stimgroup","RT","Acuracy","stimposition","maskside","response","Correct_numeric","Acuracy_fixed_mean","filter_.","ZRT","Outlire","AlertEffect_first","OrientingEffect_first","ConflictEffect_first","GrandMeanEffect_first","ANT_Accuracy_first","Dominant_Eye_first","Right_Eye_Acuity_first","Left_Eye_Acuity_first","Age_first","Gender1male2female_first","Face_orientation","fo1","fo2","trial.r"
1,1,29,"folder/matchedM008.png  ",2,1.076883747,1,2,1,2,1,0.947916667,"Selected",-0.694271359,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,28
1,1,31,"folder/matchedM049SL.png",5,3.412445955,1,1,2,1,1,0.947916667,"Selected",1.436666442,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,30
1,1,32,"folder/matchedM016IN.png",3,1.270669649,1,1,2,1,1,0.947916667,"Selected",-0.517463522,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,31
1,1,33,"folder/matchedM017.png  ",2,1.518628347,1,4,1,4,1,0.947916667,"Selected",-0.291229101,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,32
1,1,34,"folder/matchedM067SR.png",5,1.819456633,1,1,2,1,1,0.947916667,"Selected",-0.016757129,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,33
1,1,35,"folder/matchedM002.png  ",2,1.814140859,1,4,1,4,1,0.947916667,"Selected",-0.021607175,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,34
1,1,36,"folder/matchedM006IN.png",3,2.053095509,1,1,2,1,1,0.947916667,"Selected",0.196412065,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,35
1,1,39,"folder/matchedM003SR.png",5,4.692631198,1,1,2,1,1,0.947916667,"Selected",2.604691476,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,38
1,1,40,"folder/matchedM005.png  ",1,0.73921306,1,1,2,1,1,0.947916667,"Selected",-1.002357879,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,39
1,1,41,"folder/matchedM019.png  ",2,1.831814071,1,4,1,4,1,0.947916667,"Selected",-0.005482357,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,40
1,1,43,"folder/matchedM020.png  ",1,0.944627992,1,3,2,3,1,0.947916667,"Selected",-0.81493986,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,42
1,1,44,"folder/matchedM016IN.png",4,2.285317282,1,3,1,3,1,0.947916667,"Selected",0.408288312,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,43
1,1,45,"folder/matchedM049IN.png",4,3.78288213,1,2,1,2,1,0.947916667,"Selected",1.774647783,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,44
1,1,46,"folder/matchedM001.png  ",2,1.352265211,1,1,1,1,1,0.947916667,"Selected",-0.443016749,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,45
1,1,47,"folder/matchedM021SL.png",6,3.614862513,1,1,1,1,1,0.947916667,"Selected",1.621348783,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,46
1,1,48,"folder/matchedM049.png  ",2,2.219771571,1,3,1,3,1,0.947916667,"Selected",0.348485223,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,47
1,1,49,"folder/matchedM008IN.png",4,1.301157901,1,1,1,1,1,0.947916667,"Selected",-0.489646422,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,48
1,1,51,"folder/matchedM008SR.png",6,1.509418861,1,3,1,3,1,0.947916667,"Selected",-0.299631722,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,50
1,1,52,"folder/matchedM017SR.png",6,3.287383888,1,2,1,2,1,0.947916667,"Selected",1.322561374,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,51
1,1,53,"folder/matchedM008IN.png",3,1.409459941,1,1,2,1,1,0.947916667,"Selected",-0.390832992,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,52
1,1,54,"folder/matchedM017IN.png",4,2.112690841,1,2,1,2,1,0.947916667,"Selected",0.250786102,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,53
1,1,55,"folder/matchedM005SR.png",5,1.634343718,1,2,2,2,1,0.947916667,"Selected",-0.185651842,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,54
1,1,56,"folder/matchedM019IN.png",3,1.75475828,1,4,2,4,1,0.947916667,"Selected",-0.075787098,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,55
1,1,57,"folder/matchedM006.png  ",2,2.132328332,1,4,1,4,1,0.947916667,"Selected",0.268703104,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,56
1,1,59,"folder/matchedM005IN.png",4,1.770041397,1,2,1,2,1,0.947916667,"Selected",-0.061842973,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,58
1,1,60,"folder/matchedM049SL.png",6,2.319531037,1,1,1,1,1,0.947916667,"Selected",0.439504515,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,59
1,1,61,"folder/matchedM004IN.png",4,2.214728216,1,3,1,3,1,0.947916667,"Selected",0.343883729,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,60
1,1,62,"folder/matchedM019SL.png",6,3.214549482,1,2,1,2,1,0.947916667,"Selected",1.25610817,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,61
1,1,63,"folder/matchedM004SL.png",5,1.224187294,1,1,2,1,1,0.947916667,"Selected",-0.559873442,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,62
1,1,64,"folder/matchedM017IN.png",3,1.76540081,1,3,2,3,1,0.947916667,"Selected",-0.066076987,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,63
1,1,65,"folder/matchedM002IN.png",4,2.079603409,1,4,1,4,1,0.947916667,"Selected",0.220597542,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,64
1,1,66,"folder/matchedM049.png  ",1,1.53437478,1,1,2,1,1,0.947916667,"Selected",-0.276862253,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,65
1,1,67,"folder/matchedM003IN.png",3,2.234155885,1,1,2,1,1,0.947916667,"Selected",0.361609292,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,66
1,1,68,"folder/matchedM020SR.png",5,1.152094438,1,3,2,3,1,0.947916667,"Selected",-0.625650064,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,67
1,1,69,"folder/matchedM017.png  ",1,1.133737055,1,4,2,4,1,0.947916667,"Selected",-0.642399112,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,68
1,1,70,"folder/matchedM019.png  ",1,1.470658014,1,4,2,4,1,0.947916667,"Selected",-0.334996634,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,69
1,1,71,"folder/matchedM016SL.png",6,3.252878794,1,2,1,2,1,0.947916667,"Selected",1.291079356,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,70
1,1,72,"folder/matchedM004.png  ",2,1.27465067,1,1,1,1,1,0.947916667,"Selected",-0.513831288,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,71
1,1,73,"folder/matchedM024.png  ",2,1.308555032,1,2,1,2,1,0.947916667,"Selected",-0.482897372,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,1,1,0,72
1,1,74,"folder/matchedM072SL.png",6,1.54669953,1,4,1,4,1,0.947916667,"Selected",-0.265617305,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,73
1,1,75,"folder/matchedM005IN.png",3,1.97610809,1,3,2,3,1,0.947916667,"Selected",0.126169705,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,2,0,1,74
1,1,76,"folder/matchedM008SR.png",5,1.579689275,1,1,2,1,1,0.947916667,"Selected",-0.235517873,0,8,25,121,500,95,"L  ",1.3,1.67,29,1,3,0,0,75
