"id","valenceE","rtms","logrt"
202,-0.5,1168.52910515,7.00596517156621
202,0.5,860.68377495,6.70323235326776
204,0.5,816.62740705,6.6785089454158
204,-0.5,826.0438919,6.70223094657307
205,0.5,729.07084235,6.56600752017704
205,-0.5,900.94765425,6.77530446092669
208,0.5,963.39201925,6.81981981928758
208,-0.5,1386.71530505,7.2024214370804
210,0.5,760.74574,6.61192266189916
210,-0.5,818.5551882,6.69743446807439
304,-0.5,783.5532189,6.64840085568432
304,0.5,664.98085255,6.48888892077846
305,-0.5,675.27178525,6.50346552966618
305,0.5,612.49363425,6.40856810740955
306,0.5,931.73801895,6.81966684077354
306,-0.5,905.89267015,6.79751098825028
219,-0.5,1033.4244728,6.91135731903578
219,0.5,997.46141425,6.85751038201441
220,0.5,786.6633057,6.64604357864347
220,-0.5,995.0947643,6.88499393243355
221,0.5,1209.1083646,7.07462633321609
221,-0.5,1426.80784465,7.24821206072369
222,-0.5,1265.11398555,7.12013098549669
222,0.5,903.2984853,6.77918761999107
223,-0.5,925.9500624,6.81650352571455
223,0.5,762.4784111,6.62990289228083
224,-0.5,793.56503475,6.66235550897184
224,0.5,739.13078305,6.58338415953497
226,-0.5,1205.8484436,7.06952368016947
226,0.5,1082.58571615,6.94616652471672
228,-0.5,967.53679515,6.84003860919478
228,0.5,938.38446145,6.80676006926912
229,0.5,925.103283,6.82456660346476
229,-0.5,895.85770375,6.79300784049323
232,-0.5,1219.91662985,7.06722668430763
232,0.5,1045.15674115,6.90725213853046
236,0.5,932.60952225,6.77989983655497
236,-0.5,809.237802,6.6843918080104
237,0.5,1119.1421509,6.99668142153916
237,-0.5,1140.0853753,7.00026274677704
240,0.5,955.8079124,6.78868782852551
240,-0.5,854.26257845,6.7380606293698
241,-0.5,1146.00309135,6.99781914729961
241,0.5,1004.86906755,6.85176527765875
242,0.5,752.55281915,6.61207615357221
242,-0.5,786.75553805,6.6545392251676
243,-0.5,1191.70258055,7.05744300026858
243,0.5,1151.62891145,7.01755951854104
244,0.5,935.0071669,6.79690176249817
244,-0.5,818.50461955,6.68614939300367
245,0.5,753.3559322,6.57773399136893
245,-0.5,857.69141915,6.68496174336911
247,-0.5,1135.9739423,6.98106581613633
247,0.5,917.4830914,6.79080027998009
249,-0.5,896.8383669,6.78302737301222
249,0.5,891.60424465,6.76342366236644
250,0.5,1193.2029963,7.04684210273193
250,-0.5,1064.3328668,6.94532016698849
251,0.5,1466.6258454,7.25304151116722
251,-0.5,1584.9897503,7.32804968413448
254,0.5,1201.7074466,7.05249435398804
254,-0.5,1478.18869345,7.27042242501955
255,0.5,960.7664823,6.81597862074159
255,-0.5,1142.668128,7.00559862118596
256,0.5,827.4797797,6.70420142050161
256,-0.5,884.2530609,6.76899656192303
257,-0.5,990.0036096,6.87563221491312
257,0.5,911.6747856,6.78798887578111
301,-0.5,1062.54338035,6.95104131606386
301,0.5,1009.22037365,6.84572973153328
264,-0.5,822.75072345,6.68756898669332
264,0.5,782.4608326,6.63431377821816
266,0.5,925.8241652,6.79007615690855
266,-0.5,1259.27296885,7.09244061576316
267,-0.5,990.97869395,6.86504977275042
267,0.5,863.2858992,6.70422655700175
269,-0.5,1015.10010955,6.90906133342356
269,0.5,1054.9937963,6.92077887283225
270,-0.5,1003.58308555,6.90424010136751
270,0.5,1162.43001215,7.04776201517624
271,0.5,1157.4326992,7.03530205062252
271,-0.5,1215.97092155,7.0571013625288
272,-0.5,612.72765395,6.4103253364862
272,0.5,716.77261595,6.5540378851542
273,0.5,1068.266058,6.94145559131759
273,-0.5,1086.86918025,6.97106334970579
274,-0.5,1132.6378227,7.00160476895362
274,0.5,1155.801332,7.01820955756297
