"id","valenceE","rtms","logrt","idcat"
201,-0.5,907.749679333333,6.77449654637272,"201"
201,0.5,906.444277142857,6.78516092453935,"201"
202,0.5,796.278448647059,6.63186846974557,"202"
202,-0.5,946.0784198,6.79630604918403,"202"
204,0.5,776.888650941176,6.63546722451103,"204"
204,-0.5,864.836851666667,6.75979933818236,"204"
205,0.5,656.393051285714,6.47312115036701,"205"
205,-0.5,956.007862,6.82087934099734,"205"
206,0.5,1239.4237668125,7.04152201253402,"206"
206,-0.5,1102.438116,6.99050145348972,"206"
207,-0.5,1073.01356408333,6.95464813750825,"207"
207,0.5,1233.66276433333,7.09743755454957,"207"
208,0.5,842.367410571429,6.69087745289988,"208"
208,-0.5,1439.82161814286,7.26022311718822,"208"
209,0.5,1225.86904644444,7.06167759525278,"209"
209,-0.5,1534.21163566667,7.32712785006785,"209"
210,0.5,727.9021591875,6.56656333407411,"210"
210,-0.5,796.689748875,6.66504021573207,"210"
212,0.5,923.7790554375,6.78432909844018,"212"
212,-0.5,1350.80111033333,7.18405101267642,"212"
302,-0.5,1161.73056178571,7.03189679909401,"302"
302,0.5,989.735016307692,6.85352349890024,"302"
303,-0.5,1493.423462,7.30482564324206,"303"
303,0.5,879.526337,6.75867649561008,"303"
304,-0.5,897.09204425,6.76825395320714,"304"
304,0.5,648.398946235294,6.46498865488341,"304"
305,0.5,598.0098884,6.38383697451729,"305"
305,-0.5,651.04418975,6.47651533691498,"305"
306,0.5,931.73801895,6.81966684077354,"306"
306,-0.5,1358.732939,7.21430788196284,"306"
219,-0.5,840.848499,6.72531348985549,"219"
219,0.5,897.543925384615,6.76745860885889,"219"
220,0.5,764.323949736842,6.62218832193468,"220"
220,-0.5,1081.76867166667,6.97578900398628,"220"
221,0.5,1134.955498,7.00810471092239,"221"
221,-0.5,1409.28328953846,7.23979948006528,"221"
222,0.5,829.877004,6.70233613559694,"222"
222,-0.5,1323.90059366667,7.15820421652724,"222"
223,0.5,746.997131166667,6.61075080293806,"223"
223,-0.5,792.30845,6.67293989695129,"223"
224,-0.5,792.916112222222,6.66751107555254,"224"
224,0.5,702.691041461538,6.54936652521062,"224"
